Activity,year,Case Number,Date,Year,Type,Country,Area,Location,Name,Sex,Age,Injury,Fatal,Time,Species,Investigator or Source,month,day
bathing,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1951,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1
bathing,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1954,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0
bathing,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1956,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
bathing,1957,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
bathing,1958,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
bathing,1959,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
bathing,1960,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
bathing,1961,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
bathing,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1963,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
bathing,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1965,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
bathing,1966,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1
bathing,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1975,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
bathing,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,1997,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
bathing,1998,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
bathing,1999,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
bathing,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bathing,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2010,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
bathing,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2012,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
bathing,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1951,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
diving,1952,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
diving,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1954,2,2,2,2,2,1,1,2,2,1,2,2,0,0,2,2,1
diving,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1956,9,9,9,9,9,8,7,8,8,6,9,9,2,2,9,9,5
diving,1957,4,4,4,4,4,4,4,4,4,3,4,4,0,2,4,4,3
diving,1958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,1959,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
diving,1960,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4
diving,1961,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3
diving,1962,3,3,3,3,3,3,3,3,3,1,3,3,1,1,3,3,1
diving,1963,3,3,3,3,3,3,2,3,3,1,3,3,1,3,3,3,1
diving,1964,8,8,8,8,8,7,7,8,8,5,8,8,4,6,7,8,5
diving,1965,3,3,3,3,3,2,2,3,3,2,3,3,1,2,3,3,2
diving,1966,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
diving,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1968,3,3,3,3,3,2,2,3,2,3,3,3,1,2,3,3,2
diving,1969,4,4,4,4,4,3,3,4,4,2,4,4,4,2,4,4,3
diving,1970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,1971,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
diving,1972,3,3,3,3,3,3,2,3,3,2,3,3,1,3,3,3,2
diving,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1974,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4
diving,1975,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3
diving,1976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,1977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,1978,4,4,4,4,4,4,4,4,4,2,4,4,1,2,4,4,4
diving,1979,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
diving,1980,4,4,4,4,4,3,3,4,4,2,4,4,1,3,4,4,4
diving,1981,6,6,6,6,6,6,6,5,5,3,5,6,1,5,6,6,5
diving,1982,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3
diving,1983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,1984,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
diving,1985,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
diving,1986,2,2,2,2,2,1,1,1,2,0,2,2,0,1,2,2,1
diving,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1988,3,3,3,3,3,1,0,3,3,3,3,3,0,2,3,3,3
diving,1989,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
diving,1990,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
diving,1991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,1992,4,4,4,4,4,4,3,3,3,2,4,4,3,4,4,4,3
diving,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
diving,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1995,7,7,7,7,7,6,6,6,5,5,7,7,2,6,7,7,7
diving,1996,8,8,8,8,8,7,6,8,7,5,8,8,4,4,8,8,6
diving,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,1998,4,4,4,4,4,4,2,2,1,1,4,4,1,1,4,4,2
diving,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,2000,5,5,5,5,5,5,5,5,5,4,5,5,1,3,5,5,5
diving,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving,2002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,2003,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
diving,2004,7,7,7,7,7,7,7,7,6,2,7,7,4,6,7,7,6
diving,2005,3,3,3,3,3,3,2,3,3,2,3,3,0,1,3,3,3
diving,2006,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,1
diving,2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diving,2008,4,4,4,4,4,3,4,4,4,2,4,4,3,3,4,4,4
diving,2009,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
diving,2010,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
diving,2011,6,6,6,6,6,5,6,6,6,6,6,6,6,3,6,6,6
diving,2012,5,5,5,5,5,4,5,4,4,2,5,5,2,4,5,5,3
diving,2013,7,7,7,7,7,6,7,7,7,5,7,7,4,5,7,7,7
diving,2014,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1
diving,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
fishing,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1951,3,3,3,3,3,3,3,3,3,2,3,3,0,1,3,3,3
fishing,1952,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2
fishing,1953,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
fishing,1954,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2,2,1
fishing,1955,3,3,3,3,3,3,3,3,3,1,3,3,0,0,3,3,2
fishing,1956,9,9,9,9,9,7,8,8,9,2,9,9,0,5,9,9,4
fishing,1957,4,4,4,4,4,3,3,4,4,2,4,4,0,0,4,4,1
fishing,1958,4,4,4,4,4,4,4,4,4,1,4,4,1,1,4,4,1
fishing,1959,3,3,3,3,3,3,3,3,3,0,3,3,0,0,2,3,2
fishing,1960,10,10,10,10,10,10,10,10,10,5,10,10,3,4,10,10,6
fishing,1961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fishing,1962,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
fishing,1963,4,4,4,4,4,3,3,4,4,3,4,4,3,3,4,4,3
fishing,1964,3,3,3,3,3,3,2,3,3,1,3,3,0,1,3,3,3
fishing,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1966,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3
fishing,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fishing,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1970,4,4,4,4,4,4,4,4,4,3,4,4,3,1,4,4,3
fishing,1971,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
fishing,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1978,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
fishing,1979,2,2,2,2,2,2,2,1,1,0,2,2,0,0,2,2,0
fishing,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fishing,1984,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
fishing,1985,2,2,2,2,2,1,2,2,2,0,2,2,1,2,2,2,1
fishing,1986,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
fishing,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,1990,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
fishing,1991,2,2,2,2,2,2,2,2,2,0,2,2,1,1,2,2,2
fishing,1992,2,2,2,2,2,1,2,2,2,0,2,2,0,1,2,2,1
fishing,1993,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
fishing,1994,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
fishing,1995,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1
fishing,1996,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1
fishing,1997,3,3,3,3,3,3,3,3,3,3,3,3,0,2,3,3,3
fishing,1998,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
fishing,1999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fishing,2000,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
fishing,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,2002,5,5,5,5,5,4,4,5,5,4,5,5,2,3,5,5,5
fishing,2003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fishing,2004,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3
fishing,2005,3,3,3,3,3,2,2,3,3,2,3,3,2,3,3,3,3
fishing,2006,3,3,3,3,3,3,3,3,3,1,3,3,0,2,3,3,3
fishing,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing,2008,5,5,5,5,5,5,5,5,5,4,5,5,3,2,5,5,5
fishing,2009,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3
fishing,2010,3,3,3,3,3,2,2,3,3,2,3,3,1,1,3,3,3
fishing,2011,7,7,7,7,7,7,7,7,7,4,7,7,5,0,7,7,7
fishing,2012,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
fishing,2013,7,7,7,7,7,7,5,7,7,5,7,7,4,3,7,7,7
fishing,2014,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,3,3
fishing,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
scuba_diving,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
